DATE,PPI_pct_change,Real_GDP_pct_change,Industrial_production_pct_change,Consumer_sentiment_diff,Unemployment_rate_diff,CPI_log
1979-01-31,0.7903509200308209,0.2539532057734976,0.35728734974332194,-1.7166666666666686,-0.04999999999999997,-0.4832610970223525
1979-07-31,1.1845268792380237,0.1415916626449798,0.05956367115034222,-1.9499999999999993,-0.03333333333333336,0.1272935367654286
1980-01-31,1.2262231413291451,0.09410272057007729,0.07855171685392699,1.1000000000000003,0.09999999999999994,0.0268452420264239
1980-07-31,0.9758202431387364,-0.36321493565762974,-1.1361911563062173,-0.7833333333333338,0.25,0.10740302211828347
1981-01-31,0.8857325507778624,0.6373909218053364,0.8256199572964954,1.5166666666666682,-0.04999999999999997,-0.16854048485962733
1981-07-31,0.6550043169627928,0.07607106137591339,0.2361744302934584,0.4499999999999981,-0.04999999999999997,-0.16578635678460904
1982-01-31,0.11816888539787906,-0.4405402290203568,-0.9455994813169296,-0.5166666666666657,0.23333333333333325,-0.8749796867849291
1982-07-31,0.11685068592658943,0.012318382114854623,-0.13568160814820632,-0.9333333333333323,0.20000000000000018,-0.5591995865507319
1983-01-31,-0.03300159240309242,0.22629986635001043,-0.21630982818171365,0.8333333333333334,0.09999999999999994,-1.5180790362356682
1983-07-31,0.18229124765459792,0.7124124756338723,0.7000832609095861,3.733333333333332,-0.16666666666666666,-0.9258646035144468
1984-01-31,0.26177913214970316,0.6734954950799935,1.0564590581756257,1.2166666666666661,-0.2333333333333334,-1.2611182769094131
1984-07-31,0.2097477021704782,0.44862860556564854,0.45081287068799253,-0.5833333333333334,-0.08333333333333333,-1.0814117586758203
1985-01-31,-0.12809676764290825,0.2982920287251889,0.021066894785021217,-0.09999999999999905,-0.03333333333333336,-1.3216071654561456
1985-07-31,-0.03212791899472508,0.40129083261445003,-0.02731823218432572,-0.3333333333333333,0.016666666666666757,-1.0694273608384524
1986-01-31,0.0013425632707675383,0.2795327957601919,0.3674893103168875,0.2666666666666657,-0.1166666666666667,-1.305324809471389
1986-07-31,-0.6211477608036772,0.23449406531952008,-0.14257695133823023,0.3500000000000014,0.04999999999999997,-1.240362307795052
1987-01-31,0.18406998359567864,0.21303963583759375,0.24837432628865286,-1.2166666666666661,-0.06666666666666672,-1.6907157657172176
1987-07-31,0.49158004562002516,0.32422594485478723,0.6597077089572282,0.5499999999999995,-0.08333333333333333,-0.9760406818794842
1988-01-31,0.17653044319265362,0.3723065675102277,0.5837539129021796,-0.4833333333333343,-0.06666666666666658,-1.2947592503332452
1988-07-31,0.5194120294872576,0.3166669873572651,0.2371819261902756,0.43333333333333474,-0.04999999999999997,-0.9403571521137813
1989-01-31,0.39878314853745156,0.3914751678771755,0.27012632147613846,0.75,0.0,-1.222510752399047
1989-07-31,0.34476401383261024,0.2506392137503773,-0.2903074033804391,-0.9833333333333343,-0.03333333333333336,-0.8771913101517749
1990-01-31,0.3104586276561905,0.21497718333406413,0.14967459972860345,0.16666666666666666,0.03333333333333336,-1.156528261075731
1990-07-31,-0.057690290163098235,0.07159195159046987,0.27155277587712817,-0.7999999999999995,0.016666666666666607,-1.0406203066108022
1991-01-31,0.6520376246208437,-0.22972420034593397,-0.41788011966090904,-3.5666666666666678,0.15000000000000005,-0.5483348314487122
1991-07-31,-0.40841646471638976,0.21417462389618316,0.17480727113472114,2.683333333333335,0.06666666666666658,-1.6799676360891134
1992-01-31,-0.07165417303304038,0.2576328424343373,-0.06334988216950184,-2.5666666666666678,0.08333333333333333,-1.6269494114598204
1992-07-31,0.32936695755971246,0.34540224368394173,0.6019576525080635,1.5166666666666657,0.06666666666666672,-1.3586047814009838
1993-01-31,0.014388422073415471,0.20163322029084588,0.2292121050981403,2.116666666666667,-0.06666666666666672,-1.1543835514150425
1993-07-31,0.16916603388745974,0.1765542944507407,0.12913395378204942,-2.0499999999999994,-0.06666666666666658,-1.4351585226416672
1994-01-31,-0.013498573970399663,0.38841871519393517,0.4170278648160867,2.883333333333333,-0.05000000000000012,-1.5011033032384073
1994-07-31,0.22278196582630935,0.3232945310296646,0.48702430657127466,-0.8833333333333329,-0.08333333333333333,-1.537680338518679
1995-01-31,0.3020716074521997,0.2500584439227886,0.6051040497056662,1.4333333333333325,-0.08333333333333333,-1.460802896288511
1995-07-31,0.32301447526921584,0.19150805805592622,0.04017427946760114,-0.5333333333333314,0.016666666666666757,-1.2858489440160332
1996-01-31,0.13276020244494813,0.2380220289467383,0.26534417170173685,-0.8500000000000014,-0.016666666666666757,-0.9480443025292983
1996-07-31,0.22363796985296336,0.4274963071704015,0.6350398446300661,0.9000000000000009,-0.016666666666666607,-1.4661147625928572
1997-01-31,0.22057675354846262,0.2806354547984576,0.4680903412911182,0.45000000000000046,-0.03333333333333336,-1.3204174706793272
1997-07-31,-0.36210037535329326,0.48563113427529575,0.6256722412894877,1.6166666666666647,-0.06666666666666658,-1.8103650302426715
1998-01-31,-0.19639180050665672,0.30960223413781424,0.7503097900450969,-0.08333333333333333,-0.05000000000000012,-1.5847251083174763
1998-07-31,-0.06635769806625873,0.3641046918945549,0.03811886374402255,-0.23333333333333192,-0.016666666666666607,-1.8236049551400517
1999-01-31,-0.26822587885459254,0.4247717199466446,0.562997591502562,-0.2166666666666662,-0.03333333333333336,-1.6398981904683152
1999-07-31,0.3771747184954118,0.3601043542290701,0.3581239283702853,0.34999999999999903,0.0,-1.2031349463941383
2000-01-31,0.3430798526887639,0.333910082549127,0.42704070906877295,1.0,-0.04999999999999997,-1.5226786941789092
